DATAFLOW,LAST UPDATE,freq,unit,vessel,tra_cov,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2007,2018,14509,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2007,2019,16809,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2020,2008,19610,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2020,2009,14036,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2020,2010,18070,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2020,2011,14944,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2020,2012,18260,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2020,2013,19161,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2020,2014,18209,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2020,2015,18539,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2020,2016,17339,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2020,2017,17336,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2020,2018,14529,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2020,2019,16833,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2020,2020,17107,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2020,2021,17799,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2020,2022,16346,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2020,2023,16352,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2020,2024,15528,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU28,2008,19610,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU28,2009,14036,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU28,2010,18070,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU28,2011,14944,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU28,2012,18260,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU28,2013,19161,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU28,2014,18209,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU28,2015,18539,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU28,2016,17339,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU28,2017,17336,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU28,2018,14529,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU28,2019,16833,,
